Cast Vote Record	Precinct	Payson City Council 1st Choice Payson City Council	Payson City Council 2nd Choice Payson City Council	Payson City Council 3rd Choice Payson City Council	Payson City Council 4th Choice Payson City Council	Payson City Council 5th Choice Payson City Council
32664	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
32665	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32666	PA03	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET
32667	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
32668	PA01	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON
32669	PA08	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER
32670	PA08	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON
32671	PA08	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON
32672	PA04	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32673	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32674	PA07	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
32675	PA07	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
32676	PA07	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32677	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
32678	PA07	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL
32679	PA07	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32680	PA07	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL
32681	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32682	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32683	PA05	LINDA CARTER	BRIAN V. HULET	undervote	undervote	undervote
32684	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32685	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32686	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32687	PA01	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
32688	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32689	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32690	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER
32691	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER
32692	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER
32693	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32694	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
32695	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
32696	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32697	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
32698	PA08	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER
32699	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32700	PA08	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
32701	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET
32702	PA07	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
32703	PA07	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
32704	PA07	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32705	PA07	SCOTT PINKHAM	BRIAN V. HULET	SCOTT PINKHAM	BRIAN V. HULET	undervote
32706	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32707	PA04	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
32708	PA01	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32709	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32710	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
32711	PA01	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32712	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
32713	PA07	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
32714	PA07	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
32715	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON
32716	PA07	SCOTT PINKHAM	BRIAN V. HULET	SCOTT PINKHAM	BRIAN V. HULET	undervote
32717	PA07	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
32718	PA03	LINDA CARTER	overvote	overvote	undervote	undervote
32719	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32720	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32721	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32722	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32723	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
32724	PA04	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32725	PA05	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
32726	PA05	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32727	PA06	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32728	PA06	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
32729	PA01	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32730	PA05	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32731	PA06	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON
32732	PA04	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	undervote	undervote
32733	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
32734	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32735	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
32736	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32737	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32738	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32739	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32740	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER
32741	PA07	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32742	PA07	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32743	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32744	PA01	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	undervote	undervote
32745	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32746	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32747	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32748	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32749	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32750	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32751	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32752	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32753	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	overvote	undervote
32754	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32755	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32756	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32757	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32758	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32759	PA08	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
32760	PA08	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
32761	PA08	LINDA CARTER	undervote	CARY KENNETH STOCKWELL	DOUG WELTON	undervote
32762	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32763	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32764	PA02	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
32765	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32766	PA02	LINDA CARTER	undervote	undervote	undervote	undervote
32767	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32768	PA01	DOUG WELTON	undervote	undervote	undervote	undervote
32769	PA01	DOUG WELTON	LINDA CARTER	undervote	undervote	undervote
32770	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
32771	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32772	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32773	PA01	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote	undervote
32774	PA02	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
32775	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32776	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32777	PA04	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
32778	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32779	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32780	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32781	PA03	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
32782	PA06	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
32783	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
32784	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32785	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32786	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32787	PA02	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
32788	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
32789	PA05	SCOTT PINKHAM	undervote	undervote	undervote	undervote
32790	PA03	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
32791	PA08	overvote	undervote	undervote	undervote	undervote
32792	PA08	LINDA CARTER	undervote	undervote	undervote	undervote
32793	PA03	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32794	PA08	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL
32795	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32796	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32797	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32798	PA02	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
32799	PA02	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
32800	PA02	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
32801	PA05	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
32802	PA04	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32803	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	undervote	overvote
32804	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	undervote	undervote	LINDA CARTER
32805	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
32806	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
32807	PA03	BRIAN V. HULET	undervote	undervote	undervote	undervote
32808	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32809	PA01	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER
32810	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	overvote	undervote
32811	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32812	PA07	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
32813	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
32814	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote
32815	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote
32816	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote
32817	PA08	overvote	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	SCOTT PINKHAM
32818	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32819	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
32820	PA05	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
32821	PA05	LINDA CARTER	BRIAN V. HULET	undervote	undervote	undervote
32822	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32823	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32824	PA03	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON
32825	PA08	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32826	PA03	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32827	PA03	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32828	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
32829	PA01	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
32830	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32831	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32832	PA04	overvote	undervote	undervote	undervote	undervote
32833	PA04	overvote	undervote	undervote	undervote	undervote
32834	PA01	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32835	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32836	PA01	LINDA CARTER	overvote	BRIAN V. HULET	undervote	DOUG WELTON
32837	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32838	PA07	overvote	undervote	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32839	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32840	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
32841	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32842	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32843	PA02	undervote	undervote	undervote	undervote	overvote
32844	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote	undervote
32845	PA01	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
32846	PA01	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
32847	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32848	PA04	DOUG WELTON	undervote	undervote	undervote	undervote
32849	PA04	DOUG WELTON	undervote	undervote	undervote	undervote
33050	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
33051	PA08	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
33052	PA03	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
33053	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM
33054	PA08	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
33055	PA02	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote
33056	PA08	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
33057	PA02	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
33058	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33059	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
33060	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33061	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33062	PA05	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote	undervote
33063	PA05	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote	undervote
33064	PA01	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
33065	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
33066	PA04	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
33067	PA01	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
33068	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
33069	PA07	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
33070	PA03	undervote	BRIAN V. HULET	overvote	CARY KENNETH STOCKWELL	LINDA CARTER
33071	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
33072	PA01	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL
33073	PA05	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL
33074	PA04	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
33075	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33076	PA07	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM
33077	PA07	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM
33078	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33079	PA04	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
33080	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33081	PA07	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
33082	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33083	PA08	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	overvote	undervote
33084	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33085	PA05	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
33086	PA04	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
33087	PA05	BRIAN V. HULET	undervote	SCOTT PINKHAM	overvote	LINDA CARTER
33088	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
33089	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
33090	PA01	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL
33091	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
33092	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
33093	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
33094	PA08	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
33095	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
33096	PA01	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	DOUG WELTON
33097	PA08	overvote	undervote	undervote	undervote	undervote
33098	PA06	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
