Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
31648	VI01S2	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31649	VI02	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE
35050	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
35051	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
35052	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	undervote	undervote	undervote
35053	VI01	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote	undervote
35054	VI01	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
35055	VI02	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
35056	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35057	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35058	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
35059	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE
35060	VI02	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35061	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET
35062	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
35063	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
35064	VI02	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
35065	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
35066	VI02	overvote	undervote	undervote	undervote	undervote	undervote	undervote
35067	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
35068	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
35069	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
35070	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	KEITH KUDER
35071	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
35072	VI01	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON
35073	VI01	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET
35074	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35075	VI01	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
35076	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35077	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	undervote	undervote
35078	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
35079	VI01	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35080	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
35081	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
35082	VI01	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER
35083	VI01S	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
35084	VI01	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	undervote	undervote	undervote
35085	VI01S	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote
35086	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote
35087	VI01	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
35088	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
35089	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER
35090	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
35091	VI01S2	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35092	VI01S2	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35093	VI01	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
35094	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
35095	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35096	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35097	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35098	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote
35099	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote
35100	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote	undervote
35101	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
35102	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
35103	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35104	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
35105	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
35106	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
35107	VI01	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	DAVID LAURET
35108	VI02	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
35109	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	undervote
35110	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35111	VI01S	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	undervote	undervote	undervote	undervote
35112	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	undervote	undervote	undervote	undervote
35113	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
35114	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
35115	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35116	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS
35117	VI01	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote	undervote
35118	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote	undervote
35119	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote	undervote
35120	VI01	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote
35121	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	undervote	undervote	undervote	undervote
35122	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35123	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35124	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote
35125	VI02	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35126	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
35127	VI01	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER	CRISTY WELSH
35128	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote
35129	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35130	VI01	DAVID LAURET	undervote	HECTOR RAFAEL HERNANDEZ	undervote	G. TYCE FLAKE	undervote	undervote
35131	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
35132	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35133	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
35134	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
35135	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote
35136	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35137	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS
35138	VI01	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote
35139	VI01	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS
35140	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote	undervote
35141	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote	undervote
35142	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote
35143	VI01	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS
35144	VI01	overvote	undervote	undervote	undervote	undervote	undervote	undervote
35145	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
35146	VI01	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	undervote	undervote	undervote
35147	VI01	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	undervote	undervote	undervote
35148	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
35149	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote	undervote	undervote	KEITH KUDER
35150	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
35151	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
35152	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35153	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35154	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
35155	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote	undervote
35156	VI01	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
35157	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35158	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
35159	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON
35160	VI01	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote
35161	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
35162	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
35163	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote
35164	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	undervote	undervote	undervote
35165	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote
35166	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	undervote	undervote
35167	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
35168	VI01	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER
35169	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote	undervote
35170	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	undervote	undervote	undervote	undervote
35171	VI02	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
35172	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35173	VI01	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET
35174	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote	undervote	undervote
35175	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	undervote	undervote
35176	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	KEITH KUDER	undervote	undervote	undervote
35177	VI01	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER
35178	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
35179	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote
35180	VI01	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
35181	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35182	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35183	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
35184	VI01	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote	undervote	undervote
35185	VI01	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
35186	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
35187	VI01S	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote
35188	VI01S	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
35189	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
35190	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35191	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
35192	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
35193	VI01	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
35194	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	undervote
35195	VI01	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
35196	VI01	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
35197	VI01	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
35198	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
35199	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
35200	VI01	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
35201	VI01	ANTHONY JENKINS	undervote	undervote	undervote	undervote	undervote	undervote
35202	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
35203	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
35204	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS
35205	VI02	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS
35206	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
35207	VI01	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
35208	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
35209	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35210	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
35211	VI01	KEITH KUDER	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
35212	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER
35213	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE
35214	VI02	CRISTY WELSH	CRISTY WELSH	CRISTY WELSH	CRISTY WELSH	CRISTY WELSH	CRISTY WELSH	CRISTY WELSH
35215	VI01	DAVID LAURET	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
35216	VI01	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER
35217	VI01	DAVID LAURET	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
35218	VI01	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER
35219	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
35220	VI02	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON
35221	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS
35222	VI01	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
35223	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote	undervote
